"RuleCollectionName","RulePriority","ActionType","RUleConnectionType","Name","protocols","SourceAddresses","DestinationAddresses","SourceIPGroups","DestinationIPGroups","DestinationPorts","DestinationFQDNs"
"avd-application-rules","300","Allow","FirewallPolicyFilterRuleCollection","AVD-Services","Microsoft.Azure.Commands.Network.Models.PSAzureFirewallPolicyApplicationRuleProtocol","*","","","","",""
"avd-application-rules","300","Allow","FirewallPolicyFilterRuleCollection","AllowO365","Microsoft.Azure.Commands.Network.Models.PSAzureFirewallPolicyApplicationRuleProtocol, Microsoft.Azure.Commands.Network.Models.PSAzureFirewallPolicyApplicationRuleProtocol","*","","","","",""
"avd-application-rules","300","Allow","FirewallPolicyFilterRuleCollection","az-sql-pub-allow","Microsoft.Azure.Commands.Network.Models.PSAzureFirewallPolicyApplicationRuleProtocol","*","","","","",""
"avd-application-rules","300","Allow","FirewallPolicyFilterRuleCollection","az-sql-priv-allow","Microsoft.Azure.Commands.Network.Models.PSAzureFirewallPolicyApplicationRuleProtocol","*","","","","",""
"Web-ALL","400","Allow","FirewallPolicyFilterRuleCollection","AllowAllWeb","Microsoft.Azure.Commands.Network.Models.PSAzureFirewallPolicyApplicationRuleProtocol, Microsoft.Azure.Commands.Network.Models.PSAzureFirewallPolicyApplicationRuleProtocol","*","","","","",""
"avd-network-rules","200","Allow","FirewallPolicyFilterRuleCollection","DNS","TCP, UDP","*","*","","","53",""
"avd-network-rules","200","Allow","FirewallPolicyFilterRuleCollection","HTTP","TCP","*","169.254.169.254, 168.63.129.16","","","80",""
"avd-network-rules","200","Allow","FirewallPolicyFilterRuleCollection","HTTPS","TCP","*","AzureCloud, WindowsVirtualDesktop","","","443",""
"avd-network-rules","200","Allow","FirewallPolicyFilterRuleCollection","KMS","TCP","*","20.118.99.224, 23.102.135.246, 40.83.235.53","","","1688",""
"avd-network-rules","200","Allow","FirewallPolicyFilterRuleCollection","NTP","UDP","*","","","","123","time.windows.com"
"avd-network-rules","200","Allow","FirewallPolicyFilterRuleCollection","RDPShortPathPublicNet","UDP","*","*","","","3390, 3478",""
"SocialMediaFB","351","Deny","FirewallPolicyFilterRuleCollection","SMediaBlock","Microsoft.Azure.Commands.Network.Models.PSAzureFirewallPolicyApplicationRuleProtocol, Microsoft.Azure.Commands.Network.Models.PSAzureFirewallPolicyApplicationRuleProtocol","*","","","","",""
